date,holiday_name
01/01/2014,new_years_day
18/04/2014,good_fri
21/04/2014,easter_mon
05/05/2014,early_may_bank_hol
26/05/2014,spring_bank_hol
25/08/2014,aug_bank_hol
25/12/2014,xmas_day
26/12/2014,boxing_day
01/01/2015,new_years_day
03/04/2015,good_fri
06/04/2015,easter_mon
04/05/2015,early_may_bank_hol
25/05/2015,spring_bank_hol
31/08/2015,aug_bank_hol
25/12/2015,xmas_day
28/12/2015,boxing_day
01/01/2016,new_years_day
25/03/2016,good_fri
28/03/2016,easter_mon
02/05/2016,early_may_bank_hol
30/05/2016,spring_bank_hol
29/08/2016,aug_bank_hol
26/12/2016,boxing_day
27/12/2016,xmas_day
02/01/2017,new_years_day
14/04/2017,good_fri
17/04/2017,easter_mon
01/05/2017,early_may_bank_hol
29/05/2017,spring_bank_hol
28/08/2017,aug_bank_hol
25/12/2017,xmas_day
26/12/2017,boxing_day
01/01/2018,new_years_day
30/03/2018,good_fri
02/04/2018,easter_mon
07/05/2018,early_may_bank_hol
28/05/2018,spring_bank_hol
27/08/2018,aug_bank_hol
25/12/2018,xmas_day
26/12/2018,boxing_day
01/01/2019,new_years_day
19/04/2019,good_fri
22/04/2019,easter_mon
06/05/2019,early_may_bank_hol
27/05/2019,spring_bank_hol
26/08/2019,aug_bank_hol
25/12/2019,xmas_day
26/12/2019,boxing_day
01/01/2020,new_years_day
10/04/2020,good_fri
13/04/2020,easter_mon
08/05/2020,early_may_bank_hol
25/05/2020,spring_bank_hol
31/08/2020,aug_bank_hol
